"","Cell_Type1","Cell_Type2","Cell_Type3","Cell_Type4"
"1*5",0.833744049773129,0,0.166255950226871,0
"1*6",0.668674613985003,0,0.331325386014997,0
"1*7",0.664953914657542,0.162232941185156,7.13947207203762e-05,0.172741749436582
"1*8",0.498893289567111,0.372145944787384,0.126078689055112,0.00288207659039327
"1*9",0.24845263519215,0.124520575404291,0.496624725400183,0.130402064003375
"1*10",0.123363111990655,0.125552241729613,0.621024438422764,0.130060207856969
"1*11",0.12192954866689,0.126292700297721,0.495385755733289,0.2563919953021
"2*3",0.800779482274848,0,0.00357442624669845,0.195646091478454
"2*4",0.579697067396017,0.273934489709058,0.00570481071699722,0.140663632177928
"2*5",0.578685701031006,0.135604177540465,0.00175147544312598,0.283958645985403
"2*6",0.575788716068727,0,0.285123303045959,0.139087980885314
"2*7",0.627009735006611,0.123188233042832,0.248950968810325,0.000851063140232493
"2*8",0.553848667724629,0.110649668391231,0.220852899893086,0.114648763991054
"2*9",0.248375514168319,0.125887293612955,0.623770559794818,0.00196663242390773
"2*10",0.163628768309824,0.0003874942024184,0.66427905069767,0.171704686790088
"2*11",0.195719411705949,0.0016117344473833,0.396056986344764,0.406611867501904
"2*12",0.122182090403174,0.380310549834543,0.496726202309043,0.000781157453240437
"2*13",0,0.127140567515182,0.619261551254632,0.253597881230186
"3*2",0.805918638890725,0.186153255747406,0.00739589912628244,0.000532206235586432
"3*3",0.670344876643523,0.318999735630708,0.0104822426875064,0.000173145038262578
"3*4",0.574166844055024,0,0.285486959015931,0.140346196929044
"3*5",0.800538288117855,0,0.199461711882145,0
"3*6",0.800988833490516,0,0.199011166509484,0
"3*7",0.57222498360296,0.286013732887105,0.141761283509935,0
"3*8",0.664369989931522,0.334452547015132,0,0.00117746305334675
"3*9",0.167193773585698,0.168030143206397,0.664279434877756,0.000496648330148413
"3*10",0,0.202313144834055,0.796505029534876,0.00118182563106938
"3*11",0,0.000853555175285171,0.796349796470684,0.202796648354031
"3*12",0.28341784926109,0.146674764253704,0.569721031136126,0.000186355349079231
"3*13",0.124167475997298,0.254699005847993,0.49495674581549,0.126176772339218
"3*14",0.00010531294784751,0.254519448998305,0.619038970768968,0.126336267284879
"4*2",0.665333594206821,0,0.168707154861788,0.165959250931391
"4*3",0.573842972407755,0.134896723115118,0.146492623170335,0.144767681306792
"4*4",0.712148439853104,0,0.00107035652740088,0.286781203619495
"4*5",0.569242443789628,0,0.000794897352581681,0.42996265885779
"4*6",0.74849905143693,0.123337515381905,5.65537176499698e-05,0.128106879463514
"4*7",0.832796387239332,0.00044076653357864,0.166103537810043,0.00065930841704661
"4*8",0.497543917765545,0.125908262439923,0.248762884441248,0.127784935353285
"4*9",0.141666906408907,0.143666783317941,0.714044054738655,0.000622255534497342
"4*10",0,0.00041487600447717,0.797101928861596,0.202483195133927
"4*11",0,0.203622799061242,0.795512197185953,0.000865003752804807
"4*12",0.328315333002788,0.228928698103209,0.441696025308859,0.00105994358514301
"4*13",0.139719469355402,0.147448100504342,0.568322524381178,0.144509905759077
"4*14",0.000178516575417114,0.170768412099928,0.660554295920334,0.168498775404321
"5*1",0.668247655583933,0.156525276093989,0.00532107060191903,0.16990599772016
"5*2",0.570876733087282,0,0.286753181845265,0.142370085067453
"5*3",0.569351036301404,0,0.144157604114785,0.28649135958381
"5*4",0.572264216887091,0.280353058495682,0.00282108420445649,0.144561640412771
"5*5",0.797914128526071,0,0,0.202085871473929
"5*6",0.710351386857645,0,0,0.289648613142355
"5*7",0.853563487846555,0.00142876944488859,0,0.145007742708556
"5*8",0.746961371467174,0.00219982819529106,0.123279568304185,0.12755923203335
"5*9",0.123118975739951,0.253400246681539,0.62348077757851,0
"5*10",0,0.287095136641688,0.568458046368634,0.144446816989678
"5*11",0,0.000890610092603983,0.829405333934601,0.169704055972795
"5*12",0,0.145632844331902,0.565706584694757,0.288660570973341
"5*13",0.196098661430816,0.0038155389984052,0.796229582200291,0.00385621737048828
"5*14",0,0.0016317719604512,0.659760556054051,0.338607671985497
"5*15",0.139827554805806,0.00266556483382019,0.567392157856261,0.290114722504113
"6*1",0.832945317067637,0.1599345834558,0.00637991564615559,0.000740183830407703
"6*2",0.572251581310024,0.278795144150035,0.14741287028539,0.00154040425455157
"6*3",0.625071891819723,0.245043496251456,0.00311665475235272,0.126767957176468
"6*4",0.572131052645446,0.140791376146479,0.143238480052823,0.143839091155252
"6*5",0.569398577149328,0.285791424143963,0.00114773936037389,0.143662259346336
"6*6",0.796016884891697,0.00122005738376509,0.000817644671441718,0.201945413053096
"6*7",0.662673112823162,0.336639320384383,0,0.000687566792455299
"6*8",0.794488555783438,0.00223349569926461,0,0.203277948517297
"6*9",0.142441738533077,0.144945722410179,0.569591721175064,0.14302081788168
"6*10",0,0.000879518718523105,0.798106578962427,0.20101390231905
"6*11",0,0.145871862108789,0.709920172033513,0.144207965857698
"6*12",0,0.253190944293585,0.619647810682366,0.127161245024048
"6*13",0.120370625577492,0.255451308243042,0.495654938222467,0.128523127957
"6*14",0.196659104898121,0.00465517652861606,0.79363731768622,0.00504840088704214
"6*15",0,0.146266628751538,0.7052014194098,0.148531951838662
"7*1",0.798852717882431,0.194983907809641,0.0060149507987319,0.000148423509195937
"7*2",0.799178976092439,0.196649793589709,0.00394390817959339,0.000227322138259443
"7*3",0.498856270430804,0.246613924238242,0.00268299254609906,0.251846812784855
"7*4",0.799473501003476,0.200120679543267,0.000405819453256777,0
"7*5",0.831349034128819,0.00168694473036298,0.166964021140818,0
"7*6",0.662659567655915,0.336932581661727,0.000407850682357941,0
"7*7",0.568851442564735,0.00137534349637003,0.142269044730617,0.287504169208278
"7*8",0.797574682507002,0.00324935813828918,0.198991200238769,0.000184759115940264
"7*9",0,0.14421639367834,0.56954626791749,0.28623733840417
"7*10",0,0.143793994649703,0.712407065212268,0.143798940138028
"7*11",0,0.000693955885452145,0.854450127559725,0.144855916554823
"7*12",0.198334936810741,0.000832453233650851,0.797892517099448,0.0029400928561602
"7*13",0,0.000686654636550963,0.661078125549655,0.338235219813794
"7*14",0,0.20260890256704,0.793189377244195,0.0042017201887653
"7*15",0.165859576793102,0.00212306793323124,0.82501892176162,0.00699843351204732
"8*1",0.855908025807356,0,0.144091974192644,0
"8*2",0.71367142409639,0,0.28632857590361,0
"8*3",0.624248502373418,0.248779090927386,0.00115728274956437,0.125815123949631
"8*4",0.666109184612029,0.167326708706423,0.166564106681548,0
"8*5",0.497628435383402,0,0.250269509865876,0.252102054750723
"8*6",0.570011817479544,0.14349414101923,0.142720748106245,0.143773293394981
"8*7",0.795614740256413,0.204385259743587,0,0
"8*8",0.826998715629691,0.172460587112308,0,0.000540697258001362
"8*9",0,0.144023163498966,0.713156959340011,0.142819877161022
"8*10",0.199220919512237,0.000942362861562633,0.79915822361606,0.000678494010141107
"8*11",0,0.169041046330937,0.662622463592676,0.168336490076387
"8*12",0.00105259147029436,0.168628145517537,0.661584023531389,0.16873523948078
"8*13",0.100014493215074,0.403441283862433,0.49379588104143,0.0027483418810633
"8*14",0,0,0.794133790967147,0.205866209032853
"8*15",0,0.143107985435306,0.564141135369295,0.292750879195398
"8*16",0,0.332606403758319,0.437697855786689,0.229695740454992
"9*1",0.165795811510835,0.825216163009021,0.00873104663033993,0.000256978849804397
"9*2",0,0.742897099439767,0.00589180874438581,0.251211091815847
"9*3",0.00137479737888126,0.554008099185366,0.332667176769227,0.111949926666526
"9*4",0.221926403992125,0.555118795970609,0.111291077435055,0.111663722602211
"9*5",0.0996263780094395,0.598327494129765,0.00145355946193499,0.30059256839886
"9*6",0.000288149928287721,0.799308973764517,0.000390861173119913,0.200012015134075
"9*7",0.424732910415236,0.575267089584764,0,0
"9*8",0,0.665429652682734,0,0.334570347317266
