"Genes","Cell_Type3","Cell_Type2","Cell_Type1","Cell_Type4"
"Gene1",98.6154440325899,100.098214879083,83.417245645958,89.5913251036233
"Gene2",6.74786933941512,38.315696119609,32.6105779632767,34.6175558766199
"Gene3",39.7988637450415,39.4700181939886,127.821514890522,28.7209336272241
"Gene4",0.836347370165661,0.982855627891682,0.642485563627629,0.749856555281476
"Gene5",45.2742614409989,40.0024438896177,37.6068748489739,40.0531655224334
"Gene6",7.13726316265206,7.56983352364015,5.89859859812677,6.65599007511033
"Gene7",6.51149473108218,6.31022056309055,5.15052537189965,17.315704441061
"Gene8",73.7246757227449,76.317244199967,63.8838341000841,68.3814185426735
"Gene9",16.6657358782281,17.2199585669549,7.27568738808929,14.4513858308598
"Gene10",703.304262417669,88.7560251312938,74.7924795870627,78.9733801351957
"Gene11",14.1844698348049,14.6403919079865,9.2781030729279,12.3378020355108
"Gene12",236.263337206462,237.534467421184,198.399414487533,218.197153026822
"Gene13",239.286748868961,238.308137446126,202.616244029283,357.468746267748
"Gene14",24.6022873587725,35.950449708036,30.3562629638612,31.8850960804113
"Gene15",0,0,0,0
"Gene16",78.3955050250638,297.760520405621,66.2690837551624,69.3348380899078
"Gene17",58.10416360478,61.7244852599128,52.4442336973247,53.7654671160291
"Gene18",14.3881541197214,14.4708289123162,12.1259877197361,12.9072464887745
"Gene19",9.58025433078908,8.21681143711934,8.34187214636965,8.58533322325187
"Gene20",62.3575453552544,106.072850490545,13.49185789327,56.1647409251348
"Gene21",51.2813837607832,11.4289536591022,42.3673883655182,45.2259707929413
"Gene22",8.90154452724649,23.8376260367238,19.265195378634,20.3166857683229
"Gene23",0.351676717651617,0.368306969480911,0.306268552887735,0.304655469050305
"Gene24",65.821789032208,65.7355154678941,56.6292931426724,58.4713800909692
"Gene25",5.55360967305628,5.55930630156852,4.52168044291055,5.30436129160808
"Gene26",6.64927641681838,6.76637642776125,5.78632794677046,6.08956271100212
"Gene27",0.975744821173388,0.321546615898685,0.812232315084965,0.771154284200352
"Gene28",107.784704503403,111.326272106029,29.9013345104909,95.6032726689022
"Gene29",44.1942801765211,45.8818892910635,38.0904983198417,41.1654950224972
"Gene30",32.5269933381145,32.4839187180862,26.8955462789632,29.2126304220259
"Gene31",83.0043551182205,82.736377266933,69.0995805037682,72.8807180117203
"Gene32",102.048824985446,73.4616815211687,60.6809765296402,63.6006457249563
"Gene33",178.945514150843,182.513790367364,152.106552386588,389.107492637987
"Gene34",15.7049175592056,16.0435941760741,13.5520435900402,13.5238728106558
"Gene35",44.6037238782931,21.5546296555903,128.84792727347,38.9518055918206
"Gene36",3.80466537959966,19.7061771856349,89.489180367367,6.80413698704803
"Gene37",38.8239128519204,38.102357690476,11.87893722425,34.2069715283207
"Gene38",581.156189247376,125.671422619815,103.659306839642,110.037991711546
"Gene39",160.14163265891,162.301229021217,134.64892345617,142.694632491391
"Gene40",16.5301594342031,31.9458094926674,13.9873598978491,14.9348779604586
"Gene41",48.2722181444339,47.0984154627405,40.3900123739796,43.4602909811579
"Gene42",153.810401813781,158.75018973032,128.285195860496,107.268450263656
"Gene43",149.16498032707,149.612774808946,127.008664368427,133.957478042683
"Gene44",2.21755604997688,3.26363020858699,2.76753515033151,2.71081121765896
"Gene45",4.11272381783805,4.19956941029555,3.52655340068332,3.60273877566887
"Gene46",224.129505420296,231.106742037843,188.60458407502,199.039861648905
"Gene47",12.572514757475,5.34252549012523,10.1199916418073,11.0949379356328
"Gene48",122.153346703757,125.43392530143,430.166684633527,109.752782207239
"Gene49",176.745201109913,179.37092243822,353.998240924512,22.261267249232
"Gene50",10.650706927789,10.881641721973,36.6971050495473,26.4422871400421
"Gene51",0.0122896450764337,0.0544447901916686,0.0899183783039971,0.0423945739986392
"Gene52",30.3242196529279,143.298741403892,16.5295204090331,26.9098561015754
"Gene53",4.31774582483147,27.821903311808,22.7336060052363,24.4302180391291
"Gene54",155.019758902308,161.170736014244,131.928200589396,134.167459529007
"Gene55",2.48734988364102,1.06473533254,1.18082830699254,1.31582037145861
"Gene56",8.30272567705129,8.12300880730524,7.1728582199903,8.01445483988584
"Gene57",88.2534969946537,90.0228450558075,73.6374713851934,77.0580942403015
"Gene58",1095.01023480068,1075.93252090014,889.075980738481,941.270992451893
"Gene59",103.327472650155,108.289598460018,87.6272401162916,36.0856539197576
"Gene60",3.8601911206114,3.92065697529098,3.69785159977704,3.47978297272857
"Gene61",111.466237136829,32.9467562114259,27.435642561967,28.8720557612227
"Gene62",47.8515768449686,50.6460902870459,42.8888125983396,43.9382331754769
"Gene63",1.71357561861279,1.7971684322799,1.38542260686306,1.51047103591101
"Gene64",1462.7960057481,1467.0502452428,1216.21566897088,1316.35913020492
"Gene65",2.22907609493349,2.3357286634638,1.94053254827516,2.22645623853924
"Gene66",223.462407831616,774.420702165915,190.896598707133,203.04133398873
"Gene67",24.6270249592255,24.6832386315718,20.5515551963608,22.6984600453149
"Gene68",0.526424076144451,0.644354054721973,0.354942830534365,0.420760141418562
"Gene69",63.1824139097111,62.8143462398053,50.1891761257224,54.0265225536871
"Gene70",4.71561920321485,4.99580176596448,3.77593395220413,4.22601384376612
"Gene71",87.1072298214482,89.5587833595354,134.722204180082,79.4285554545606
"Gene72",20.1906961859458,20.0401105103646,17.1299018396502,18.2613834087893
"Gene73",58.8888172661346,60.5739086768275,48.842821520463,52.2530358567536
"Gene74",1.15283172740705,1.09573837918765,1.15133733631959,1.10350364500555
"Gene75",2.46096662670555,2.48154333862703,2.27521406700559,2.29819374258762
"Gene76",110.765427566221,115.929216935653,122.132742379668,101.41575078085
"Gene77",33.0594558093689,33.9378771078408,11.2665351722131,30.3899644873091
"Gene78",27.5369622363163,28.4313637408624,40.9204536857304,12.0178137662209
"Gene79",70.8747722547573,72.6294671940204,22.6096050114234,62.9199508919332
"Gene80",0.0699354785266765,0.0573356792917341,0.0493449220146137,0.0586171023366371
"Gene81",6.00176939314585,6.18007867952285,5.41069441931635,13.0033292671893
"Gene82",317.964487628446,255.104999615435,88.8779133374475,94.5181752570475
"Gene83",43.2893770935797,44.7571942516287,35.9276625292402,40.783199639746
"Gene84",51.7938051722333,424.923888890276,44.0463427164725,48.255230366799
"Gene85",5.51058661736051,5.53238550803516,4.41512857815671,4.40939360339984
"Gene86",11.0638339723917,11.3813645852951,9.59946016839747,10.2847833168281
"Gene87",68.4120620368009,71.4929685682572,58.2399795482267,26.4226451410247
"Gene88",5.81400022278623,5.66783353174177,4.7939508666697,5.18836475191795
"Gene89",0.728067182786797,1.50501919482497,0.588124207793254,0.652259140118262
"Gene90",104.468297705691,103.778808770655,86.787767863116,92.3972514199011
"Gene91",107.627908082214,111.855025682611,90.4669566419077,96.7790868500355
"Gene92",2.70804027983607,7.72347357985843,2.29213293979747,2.60366689560297
"Gene93",16.6346166930668,35.1551996190138,8.66976895743497,14.2928757233002
"Gene94",36.0732294443473,35.0650121862566,29.2563289270387,30.6873460780538
"Gene95",32.1987183418698,31.4815854253442,6.61882526010904,96.2663447015264
"Gene96",82.879498215787,84.9774093812144,68.2909175277157,76.6848206466177
"Gene97",29.6576958240438,92.383569524395,24.9262480286764,25.9103820827707
"Gene98",59.4809508613733,59.6462022101855,79.6025594738407,53.9588773768062
"Gene99",5.98188827996151,5.95471871659684,5.14476626326465,5.38549476476306
"Gene100",44.1003870731374,42.8045657477251,14.0969856164814,38.6936502272773
"Gene101",55.0031904555913,54.1514486903967,44.5874457223638,86.2561950663582
"Gene102",6.44816256154667,7.22623133303036,1.16894429057067,11.6513707625179
"Gene103",12.0693841666555,12.3221185578254,10.4416647745319,10.6225031953127
"Gene104",1596.46509823814,1623.55294282359,1340.33054346485,1414.61405597374
"Gene105",97.268134374921,97.0754840982853,12.8999092734403,86.1030312278938
"Gene106",55.0692906121674,57.1442150696163,47.7298226195513,114.537344862711
"Gene107",16.7819623520581,61.7459923387949,14.6172619901461,59.0477646089064
"Gene108",42.7955421312023,43.9591526725504,9.42324842489026,14.4613307257053
"Gene109",1.97382756434605,0.769757012353287,2.23486956466498,0.657260526628008
"Gene110",36.2855682783275,12.6968795139455,5.82216007925876,33.3043826998381
"Gene111",200.576513133746,59.7317646060595,11.3409116649622,53.0321069698909
"Gene112",4.01701192768644,3.79552645067998,3.4885943855155,3.20796482738425
"Gene113",46.7709780052116,46.5862775867264,38.8910819555786,14.5591150328236
"Gene114",118.936794761336,240.850414867689,103.623738566005,107.635629297783
"Gene115",86.3189552972572,88.8082140243216,72.0380762700225,77.5110937177902
"Gene116",4.61029848227742,4.43286352203641,13.3848657467788,4.11234863180656
"Gene117",147.2275183792,151.560054515756,290.802391988235,130.685817609424
"Gene118",2.80171760312677,2.89607061930074,2.47121082156333,2.80066373741927
"Gene119",30.146440365869,30.1501686632616,4.84121398588845,26.877824851967
"Gene120",1.32423503271615,2.79368066182694,1.10789323918783,1.1551388290047
