CellID	bio_celltype
Cell1	CT1
Cell2	CT2
Cell3	CT1
Cell4	CT3
Cell5	CT2
Cell6	CT4
Cell7	CT2
Cell8	CT3
Cell9	CT4
Cell10	CT4
Cell11	CT1
Cell12	CT2
Cell13	CT1
Cell14	CT4
Cell15	CT4
Cell16	CT4
Cell17	CT4
Cell18	CT3
Cell19	CT3
Cell20	CT4
Cell21	CT2
Cell22	CT2
Cell23	CT2
Cell24	CT4
Cell25	CT1
Cell26	CT3
Cell27	CT1
Cell28	CT4
Cell29	CT3
Cell30	CT4
Cell31	CT2
Cell32	CT4
Cell33	CT2
Cell34	CT3
Cell35	CT2
Cell36	CT2
Cell37	CT2
Cell38	CT1
Cell39	CT4
Cell40	CT1
Cell41	CT2
Cell42	CT4
Cell43	CT1
Cell44	CT4
Cell45	CT1
Cell46	CT1
Cell47	CT4
Cell48	CT4
Cell49	CT2
Cell50	CT3
Cell51	CT2
Cell52	CT3
Cell53	CT2
Cell54	CT4
Cell55	CT2
Cell56	CT4
Cell57	CT4
Cell58	CT3
Cell59	CT1
Cell60	CT2
Cell61	CT4
Cell62	CT4
Cell63	CT4
Cell64	CT4
Cell65	CT2
Cell66	CT2
Cell67	CT2
Cell68	CT4
Cell69	CT4
Cell70	CT3
Cell71	CT3
Cell72	CT4
Cell73	CT1
Cell74	CT2
Cell75	CT2
Cell76	CT2
Cell77	CT4
Cell78	CT2
Cell79	CT4
Cell80	CT3
Cell81	CT2
Cell82	CT2
Cell83	CT2
Cell84	CT1
Cell85	CT1
Cell86	CT2
Cell87	CT4
Cell88	CT2
Cell89	CT2
Cell90	CT1
Cell91	CT2
Cell92	CT1
Cell93	CT1
Cell94	CT4
Cell95	CT2
Cell96	CT2
Cell97	CT4
Cell98	CT3
Cell99	CT4
Cell100	CT4
Cell101	CT1
Cell102	CT3
Cell103	CT3
Cell104	CT2
Cell105	CT4
Cell106	CT4
Cell107	CT1
Cell108	CT1
Cell109	CT3
Cell110	CT4
Cell111	CT2
Cell112	CT3
Cell113	CT2
Cell114	CT4
Cell115	CT2
Cell116	CT1
Cell117	CT4
Cell118	CT1
Cell119	CT4
Cell120	CT4
Cell121	CT3
Cell122	CT4
Cell123	CT2
Cell124	CT3
Cell125	CT1
Cell126	CT1
Cell127	CT4
Cell128	CT4
Cell129	CT2
Cell130	CT4
Cell131	CT4
Cell132	CT4
Cell133	CT1
Cell134	CT3
Cell135	CT4
Cell136	CT4
Cell137	CT1
Cell138	CT3
Cell139	CT3
Cell140	CT1
Cell141	CT3
Cell142	CT2
Cell143	CT1
Cell144	CT2
