"","Cell_Type3","Cell_Type2","Cell_Type1","Cell_Type4"
"Cell1",1,0,0,0
"Cell2",0,1,0,0
"Cell3",1,0,0,0
"Cell4",0,0,1,0
"Cell5",0,1,0,0
"Cell6",0,0,0,1
"Cell7",0,1,0,0
"Cell8",0,0,1,0
"Cell9",0,0,0,1
"Cell10",0,0,0,1
"Cell11",1,0,0,0
"Cell12",0,1,0,0
"Cell13",1,0,0,0
"Cell14",0,0,0,1
"Cell15",0,0,0,1
"Cell16",0,0,0,1
"Cell17",0,0,0,1
"Cell18",0,0,1,0
"Cell19",0,0,1,0
"Cell20",0,0,0,1
"Cell21",0,1,0,0
"Cell22",0,1,0,0
"Cell23",0,1,0,0
"Cell24",0,0,0,1
"Cell25",1,0,0,0
"Cell26",0,0,1,0
"Cell27",1,0,0,0
"Cell28",0,0,0,1
"Cell29",0,0,1,0
"Cell30",0,0,0,1
"Cell31",0,1,0,0
"Cell32",0,0,0,1
"Cell33",0,1,0,0
"Cell34",0,0,1,0
"Cell35",0,1,0,0
"Cell36",0,1,0,0
"Cell37",0,1,0,0
"Cell38",1,0,0,0
"Cell39",0,0,0,1
"Cell40",1,0,0,0
"Cell41",0,1,0,0
"Cell42",0,0,0,1
"Cell43",1,0,0,0
"Cell44",0,0,0,1
"Cell45",1,0,0,0
"Cell46",1,0,0,0
"Cell47",0,0,0,1
"Cell48",0,0,0,1
"Cell49",0,1,0,0
"Cell50",0,0,1,0
"Cell51",0,1,0,0
"Cell52",0,0,1,0
"Cell53",0,1,0,0
"Cell54",0,0,0,1
"Cell55",0,1,0,0
"Cell56",0,0,0,1
"Cell57",0,0,0,1
"Cell58",0,0,1,0
"Cell59",1,0,0,0
"Cell60",0,1,0,0
"Cell61",0,0,0,1
"Cell62",0,0,0,1
"Cell63",0,0,0,1
"Cell64",0,0,0,1
"Cell65",0,1,0,0
"Cell66",0,1,0,0
"Cell67",0,1,0,0
"Cell68",0,0,0,1
"Cell69",0,0,0,1
"Cell70",0,0,1,0
"Cell71",0,0,1,0
"Cell72",0,0,0,1
"Cell73",1,0,0,0
"Cell74",0,1,0,0
"Cell75",0,1,0,0
"Cell76",0,1,0,0
"Cell77",0,0,0,1
"Cell78",0,1,0,0
"Cell79",0,0,0,1
"Cell80",0,0,1,0
"Cell81",0,1,0,0
"Cell82",0,1,0,0
"Cell83",0,1,0,0
"Cell84",1,0,0,0
"Cell85",1,0,0,0
"Cell86",0,1,0,0
"Cell87",0,0,0,1
"Cell88",0,1,0,0
"Cell89",0,1,0,0
"Cell90",1,0,0,0
"Cell91",0,1,0,0
"Cell92",1,0,0,0
"Cell93",1,0,0,0
"Cell94",0,0,0,1
"Cell95",0,1,0,0
"Cell96",0,1,0,0
"Cell97",0,0,0,1
"Cell98",0,0,1,0
"Cell99",0,0,0,1
"Cell100",0,0,0,1
"Cell101",1,0,0,0
"Cell102",0,0,1,0
"Cell103",0,0,1,0
"Cell104",0,1,0,0
"Cell105",0,0,0,1
"Cell106",0,0,0,1
"Cell107",1,0,0,0
"Cell108",1,0,0,0
"Cell109",0,0,1,0
"Cell110",0,0,0,1
"Cell111",0,1,0,0
"Cell112",0,0,1,0
"Cell113",0,1,0,0
"Cell114",0,0,0,1
"Cell115",0,1,0,0
"Cell116",1,0,0,0
"Cell117",0,0,0,1
"Cell118",1,0,0,0
"Cell119",0,0,0,1
"Cell120",0,0,0,1
"Cell121",0,0,1,0
"Cell122",0,0,0,1
"Cell123",0,1,0,0
"Cell124",0,0,1,0
"Cell125",1,0,0,0
"Cell126",1,0,0,0
"Cell127",0,0,0,1
"Cell128",0,0,0,1
"Cell129",0,1,0,0
"Cell130",0,0,0,1
"Cell131",0,0,0,1
"Cell132",0,0,0,1
"Cell133",1,0,0,0
"Cell134",0,0,1,0
"Cell135",0,0,0,1
"Cell136",0,0,0,1
"Cell137",1,0,0,0
"Cell138",0,0,1,0
"Cell139",0,0,1,0
"Cell140",1,0,0,0
"Cell141",0,0,1,0
"Cell142",0,1,0,0
"Cell143",1,0,0,0
"Cell144",0,1,0,0
"Cell145",0,0,0,1
"Cell146",0,0,1,0
"Cell147",0,1,0,0
"Cell148",1,0,0,0
"Cell149",1,0,0,0
"Cell150",0,1,0,0
"Cell151",1,0,0,0
"Cell152",1,0,0,0
"Cell153",0,0,0,1
"Cell154",0,0,0,1
"Cell155",1,0,0,0
"Cell156",0,0,0,1
"Cell157",0,1,0,0
"Cell158",1,0,0,0
"Cell159",0,0,1,0
"Cell160",0,0,0,1
"Cell161",0,0,1,0
"Cell162",0,1,0,0
"Cell163",1,0,0,0
"Cell164",0,0,0,1
"Cell165",0,1,0,0
"Cell166",0,1,0,0
"Cell167",1,0,0,0
"Cell168",0,1,0,0
"Cell169",0,1,0,0
"Cell170",1,0,0,0
"Cell171",0,0,0,1
"Cell172",0,0,0,1
"Cell173",0,0,1,0
"Cell174",0,0,0,1
"Cell175",0,0,1,0
"Cell176",1,0,0,0
"Cell177",0,1,0,0
"Cell178",0,1,0,0
"Cell179",1,0,0,0
"Cell180",0,1,0,0
"Cell181",0,0,0,1
"Cell182",0,0,1,0
"Cell183",1,0,0,0
"Cell184",0,0,0,1
"Cell185",0,1,0,0
"Cell186",0,1,0,0
"Cell187",0,1,0,0
"Cell188",0,0,0,1
"Cell189",0,0,0,1
"Cell190",1,0,0,0
"Cell191",0,0,0,1
"Cell192",1,0,0,0
"Cell193",0,0,0,1
"Cell194",1,0,0,0
"Cell195",1,0,0,0
"Cell196",0,1,0,0
"Cell197",0,0,1,0
"Cell198",1,0,0,0
"Cell199",1,0,0,0
"Cell200",0,0,0,1
"Cell201",0,0,0,1
"Cell202",1,0,0,0
"Cell203",0,0,1,0
"Cell204",1,0,0,0
"Cell205",0,1,0,0
"Cell206",0,0,1,0
"Cell207",0,0,0,1
"Cell208",0,1,0,0
"Cell209",0,0,0,1
"Cell210",0,1,0,0
"Cell211",0,0,1,0
"Cell212",1,0,0,0
"Cell213",1,0,0,0
"Cell214",1,0,0,0
"Cell215",0,0,1,0
"Cell216",0,0,1,0
"Cell217",0,0,0,1
"Cell218",1,0,0,0
"Cell219",1,0,0,0
"Cell220",1,0,0,0
"Cell221",0,0,1,0
"Cell222",0,1,0,0
"Cell223",0,1,0,0
"Cell224",0,1,0,0
"Cell225",0,1,0,0
"Cell226",0,0,1,0
"Cell227",0,1,0,0
"Cell228",0,1,0,0
"Cell229",0,0,0,1
"Cell230",0,0,0,1
"Cell231",0,0,1,0
"Cell232",0,0,0,1
"Cell233",0,0,0,1
"Cell234",0,1,0,0
"Cell235",1,0,0,0
"Cell236",0,0,0,1
"Cell237",0,0,0,1
"Cell238",1,0,0,0
"Cell239",0,0,0,1
"Cell240",0,0,1,0
"Cell241",0,0,0,1
"Cell242",0,0,1,0
"Cell243",0,1,0,0
"Cell244",1,0,0,0
"Cell245",1,0,0,0
"Cell246",0,0,0,1
"Cell247",0,0,0,1
"Cell248",0,0,1,0
"Cell249",0,1,0,0
"Cell250",0,0,1,0
"Cell251",0,0,0,1
"Cell252",0,1,0,0
"Cell253",0,0,0,1
"Cell254",0,0,1,0
"Cell255",0,0,1,0
"Cell256",1,0,0,0
"Cell257",0,0,1,0
"Cell258",1,0,0,0
"Cell259",1,0,0,0
"Cell260",0,1,0,0
"Cell261",0,0,1,0
"Cell262",0,0,1,0
"Cell263",0,0,0,1
"Cell264",1,0,0,0
"Cell265",0,0,0,1
"Cell266",1,0,0,0
"Cell267",0,1,0,0
"Cell268",1,0,0,0
"Cell269",1,0,0,0
"Cell270",1,0,0,0
"Cell271",0,0,1,0
"Cell272",0,1,0,0
"Cell273",0,1,0,0
"Cell274",1,0,0,0
"Cell275",0,0,0,1
"Cell276",0,1,0,0
"Cell277",0,0,1,0
"Cell278",0,0,0,1
"Cell279",0,0,1,0
"Cell280",0,1,0,0
"Cell281",0,0,0,1
"Cell282",0,0,0,1
"Cell283",0,1,0,0
"Cell284",0,0,1,0
"Cell285",0,1,0,0
"Cell286",0,0,0,1
"Cell287",0,0,1,0
"Cell288",0,1,0,0
"Cell289",0,0,1,0
"Cell290",0,0,0,1
"Cell291",1,0,0,0
"Cell292",0,0,1,0
"Cell293",0,0,1,0
"Cell294",0,0,0,1
"Cell295",0,0,0,1
"Cell296",1,0,0,0
"Cell297",0,0,1,0
"Cell298",0,0,0,1
"Cell299",0,0,0,1
"Cell300",0,1,0,0
"Cell301",1,0,0,0
"Cell302",0,0,0,1
"Cell303",0,0,1,0
"Cell304",0,0,0,1
"Cell305",0,0,1,0
"Cell306",0,1,0,0
"Cell307",0,0,0,1
"Cell308",0,1,0,0
"Cell309",0,0,0,1
"Cell310",1,0,0,0
"Cell311",1,0,0,0
"Cell312",0,1,0,0
"Cell313",0,0,0,1
"Cell314",1,0,0,0
