"","Cell_Type3","Cell_Type2","Cell_Type1","Cell_Type4"
"10_1",0.201995196443566,0.798004803556434,0,0
"10_10",0,0,0.199565864167364,0.800434135832636
"10_11",0.1663003840787,0,0.167001542401095,0.666698073520205
"10_12",0,0.000346055843893763,0.201403285491374,0.798250658664732
"10_13",0.000294091399328506,0,0.200878745085112,0.79882716351556
"10_14",0,0,0.201871331537907,0.798128668462093
"10_15",0.0044122915222611,0.00090640218370004,0.201362554219298,0.793318752074741
"10_16",0.0079697698069336,0.000770889476613527,0.00190736841199944,0.989351972304453
"10_2",0.202116521704391,0.797883478295609,0,0
"10_3",0.201727763659777,0.798272236340223,0,0
"10_4",0.201466490800988,0.798533509199012,0,0
"10_5",0.200528549086116,0.799471450913884,0,0
"10_6",0.166686990975016,0.66685590650167,0,0.166457102523314
"10_7",0.199375258668656,0.800211379281074,0.000413362050270179,0
"10_8",0.199411748847599,0.799734847906581,0.000800166587096894,5.32366587237986e-05
"10_9",0,0,0.199125779182288,0.800874220817713
"11_1",0.202516063307249,0.797483936692751,0,0
"11_10",0,0,0.19959508502972,0.80040491497028
"11_11",0,0,0.200251139962113,0.799748860037887
"11_12",0.000166181806344612,0.00032060854649866,0.200727797988175,0.798785411658982
"11_13",0,0.000182033112778759,0.201049817974182,0.798768148913039
"11_14",0.000536908691068505,0.000317701753584531,0.201614506459197,0.79753088309615
"11_15",0.00437681478267432,0.000799969100943364,0.202744456877855,0.792078759238527
"11_16",0.0108379186860475,0.00187223692143734,0.0020226015808605,0.985267242811655
"11_2",0.201679710219766,0.798320289780234,0,0
"11_3",0.334795217960813,0.665204782039187,0,0
"11_4",0.201335148525923,0.798664851474077,0,0
"11_5",0.200522941398668,0.799477058601332,0,0
"11_6",0.200141939502325,0.799858060497675,0,0
"11_7",0.199808027200333,0.799796301549983,0.00039567124968334,0
"11_8",0.199368290475404,0.799401198814227,0.00081795085072062,0.00041255985964828
"11_9",0,0,0.199370860602179,0.800629139397821
"12_1",0.201839536434457,0.798160463565543,0,0
"12_10",0,0,0.199566037199779,0.800433962800221
"12_11",0,0,0.200044607500147,0.799955392499853
"12_12",0,0.000576310567746975,0.200878871701029,0.798544817731224
"12_13",0.000501331685289703,0.000220736731546602,0.201228548870782,0.798049382712382
"12_14",0.00236812499658866,0.000118099652340841,0.202249175318781,0.795264600032289
"12_15",0.00403425011179258,0.000504874362411495,0.203639493796138,0.791821381729657
"12_16",0.0100046592214122,0.00284753494168465,0.00189891152820218,0.985248894308701
"12_2",0.201193377830044,0.798806622169956,0,0
"12_3",0.200938222788676,0.799061777211324,0,0
"12_4",0.200666966730052,0.799333033269948,0,0
"12_5",0.200196378973966,0.799803621026034,0,0
"12_6",0.199504578588563,0.800443529716446,5.18916949910907e-05,0
"12_7",0.199046593107186,0.800202402127233,0.000549687769387704,0.000201316996192834
"12_8",0.199598265730398,0.799523300661523,0.000748601138782409,0.000129832469296809
"12_9",0,0,0.199232888679884,0.800767111320116
"13_1",0.200407166563107,0.799326888773844,0.000265944663049557,0
"13_10",0,0,0.199428859974953,0.800571140025047
"13_11",0,0,0.19986118941584,0.80013881058416
"13_12",0,0.000158890952378089,0.200648414813938,0.799192694233684
"13_13",0,0.000298845105717422,0.200969400973337,0.798731753920946
"13_14",0.00340740946250204,0.000133959086861542,0.201520425088598,0.794938206362038
"13_15",0.00712074300622383,0.00168317057964723,0.00117119145622566,0.990024894957903
"13_16",0.00821048862787494,0.00231246873705109,0.00214725118249557,0.987329791452578
"13_2",0.20035140199825,0.79964859800175,0,0
"13_3",0.199629462467975,0.800330401946144,4.01355858806359e-05,0
"13_4",0.199645728068627,0.800354271931373,0,0
"13_5",0.199373042144529,0.800626957855471,0,0
"13_6",0.199080854176976,0.800303131326359,0.000390599201466299,0.000225415295198153
"13_7",0.198534010462261,0.800492826050322,0.000585802419679002,0.000387361067738174
"13_8",0.198948185071819,0.799308345475435,0.00117362576005096,0.000569843692695759
"13_9",0,0,0.198974869751633,0.801025130248367
"14_1",0.140480709116101,0.571659865697333,0.000686894641160648,0.287172530545406
"14_10",0,0,0.200483860085897,0.799516139914103
"14_11",0,0,0.200217310145744,0.799782689854256
"14_12",0,0,0.200443058788497,0.799556941211503
"14_13",0,0,0.20142365709915,0.79857634290085
"14_14",0.00406899206677466,0,0.200776852184261,0.795154155748964
"14_15",0.00516697132474149,0.000914233862537334,0.00113002517173748,0.992788769640984
"14_16",0.0089547116061057,0.00354048314236222,0.0013090959250132,0.986195709326519
"14_2",0.198662680766472,0.800684674665333,0.000652644568194284,0
"14_3",0.197249136891588,0.80155864922475,0.00119221388366162,0
"14_4",0.197781583644764,0.800820549420964,0.000990185962378266,0.000407680971893823
"14_5",0.198530296814028,0.800878026292213,0.000411083237240882,0.000180593656518434
"14_6",0.198334716495327,0.799900451330817,0.000516523120941688,0.00124830905291412
"14_7",0.198589836430511,0.800151349178416,0.000501349561562389,0.000757464829511248
"14_8",0.197641081333739,0.79997215716771,0.00142070206193462,0.000966059436615839
"14_9",0,0,0.199408010192647,0.800591989807353
"15_1",0.197517670139129,0.801126966829952,0.00124446916576893,0.000110893865150637
"15_10",0.160768382860014,0,0.167270595131325,0.671961022008661
"15_11",0,0,0.200122221583355,0.799877778416645
"15_12",0,0,0.2002947187749,0.7997052812251
"15_13",0,0,0.167034670252774,0.832965329747226
"15_14",0.00187290483631118,0,0.201167584516647,0.796959510647041
"15_15",0.00358006987874716,0.000794450516926031,0.000988858521082058,0.994636621083245
"15_16",0.00648886899548331,0.00315696915580654,0.00165098084282289,0.988703181005887
"15_2",0.195820879422679,0.801947870758355,0.00186446255312608,0.00036678726584028
"15_3",0.196387849875421,0.801400050257997,0.00136475218564246,0.000847347680939632
"15_4",0.197065201266614,0.80080358238695,0.000901933821724175,0.00122928252471122
"15_5",0.197938071228801,0.800441579803209,0.000421456214814136,0.00119889275317625
"15_6",0.198215831412311,0.799629015609871,0.00052800713565638,0.00162714584216175
"15_7",0.198346889593967,0.799830039261084,0.000224123403305324,0.00159894774164381
"15_8",0.197821855157955,0.799476950832007,0.00140538856017776,0.00129580544986055
"15_9",0,0,0.200932145020937,0.799067854979063
"16_1",0.195661697117021,0.80164658521159,0.00197100807372001,0.000720709597668982
"16_10",0,0,0.200368188553448,0.799631811446552
"16_11",0,0,0.200492747480955,0.799507252519045
"16_12",0,0,0.200017369280718,0.799982630719282
"16_13",0,0,0.200546353931302,0.799453646068698
"16_14",0.000942974258984179,0,0.20113520146966,0.797921824271356
"16_15",0.00368365292925622,0.000868564511638014,0.000495244971616625,0.994952537587489
"16_16",0.0055207542031289,0.00263593056011327,0.00154293480718353,0.990300380429574
"16_2",0.194767860833303,0.801931234417626,0.00192405467529959,0.00137685007377174
"16_3",0.195765829908025,0.801028043798124,0.00143358990077449,0.00177253639307723
"16_4",0.196254317509707,0.8008124861656,0.000923649431144678,0.00200954689354806
"16_5",0.196792908014589,0.80029349254859,0.000676933750446654,0.00223666568637476
"16_6",0.197630717236511,0.799468161332362,0.000396381559628541,0.00250473987149856
"16_7",0.19762107492445,0.799410695138773,0.00042339702007015,0.00254483291670626
"16_8",0.497659958644261,0.499262339171528,0.000335945144288441,0.00274175703992291
"16_9",0,0,0.200962690336726,0.799037309663274
"1_1",0.0016368145713919,0.198337501079588,0.79672633048035,0.00329935386867054
"1_10",0.795264706793218,0,0,0.204735293206782
"1_11",0.797653593362492,0,0,0.202346406637508
"1_12",0.797727234140077,0.000226713060600168,0,0.202046052799323
"1_13",0.797215422469447,9.73475839605567e-05,0,0.202687229946593
"1_14",0.797105011089618,0,0,0.202894988910382
"1_15",0.798297974381084,0,0,0.201702025618916
"1_16",0.799667665240375,0,0,0.200332334759625
"1_2",0.000911515435765149,0.197867562012273,0.797384913425498,0.00383600912646357
"1_3",0,0.197991853282264,0.797865675450764,0.00414247126697163
"1_4",3.27675589252643e-05,0.197554171656595,0.797976236455035,0.00443682432944398
"1_5",0,0.198156735584327,0.797295585960529,0.00454767845514437
"1_6",0,0.1992738133283,0.798214126171316,0.00251206050038398
"1_7",0,0.199722682236249,0.797535665210464,0.0027416525532871
"1_8",0,0.197108772621612,0.797919543488617,0.00497168388977116
"1_9",0.796731302770971,0,0,0.203268697229029
"2_1",0.00136439672091116,0.198976243369916,0.797427922723911,0.00223143718526269
"2_10",0.791742175372628,0,0,0.208257824627372
"2_11",0.793392616176256,0,0,0.206607383823744
"2_12",0.797433352100311,0,0,0.202566647899689
"2_13",0.798241675705878,0.000129986776526729,0,0.201628337517595
"2_14",0.798090224333346,0,0,0.201909775666654
"2_15",0.798909257734416,0,0,0.201090742265584
"2_16",0.801216726019132,0,0,0.198783273980868
"2_2",0.000881844899905666,0.198345544636345,0.798024969966846,0.0027476404969038
"2_3",0.000232303744683588,0.197906756587757,0.798553850275518,0.00330708939204091
"2_4",9.79120638990131e-06,0.164539345122964,0.662776835425585,0.172674028245061
"2_5",0,0.198176067382762,0.798166534685496,0.00365739793174274
"2_6",0,0.199819722983412,0.798467176480204,0.00171310053638405
"2_7",0,0.196998419415856,0.798602429331614,0.00439915125253007
"2_8",0,0.197574471156046,0.798390592329468,0.00403493651448555
"2_9",0.791218736950473,0,0,0.208781263049527
"3_1",0.00277632319309822,0.199112927665213,0.797189390660909,0.000921358480779215
"3_10",0.792733786354423,0,0,0.207266213645577
