CellID,x,y
10_1,10,1
10_10,10,10
10_11,10,11
10_12,10,12
10_13,10,13
10_14,10,14
10_15,10,15
10_16,10,16
10_2,10,2
10_3,10,3
10_4,10,4
10_5,10,5
10_6,10,6
10_7,10,7
10_8,10,8
10_9,10,9
11_1,11,1
11_10,11,10
11_11,11,11
11_12,11,12
11_13,11,13
11_14,11,14
11_15,11,15
11_16,11,16
11_2,11,2
11_3,11,3
11_4,11,4
11_5,11,5
11_6,11,6
11_7,11,7
11_8,11,8
11_9,11,9
12_1,12,1
12_10,12,10
12_11,12,11
12_12,12,12
12_13,12,13
12_14,12,14
12_15,12,15
12_16,12,16
12_2,12,2
12_3,12,3
12_4,12,4
12_5,12,5
12_6,12,6
12_7,12,7
12_8,12,8
12_9,12,9
13_1,13,1
13_10,13,10
13_11,13,11
13_12,13,12
13_13,13,13
13_14,13,14
13_15,13,15
13_16,13,16
13_2,13,2
13_3,13,3
13_4,13,4
13_5,13,5
13_6,13,6
13_7,13,7
13_8,13,8
13_9,13,9
14_1,14,1
14_10,14,10
14_11,14,11
14_12,14,12
14_13,14,13
14_14,14,14
14_15,14,15
14_16,14,16
14_2,14,2
14_3,14,3
14_4,14,4
14_5,14,5
14_6,14,6
14_7,14,7
14_8,14,8
14_9,14,9
15_1,15,1
15_10,15,10
15_11,15,11
15_12,15,12
15_13,15,13
15_14,15,14
15_15,15,15
15_16,15,16
15_2,15,2
15_3,15,3
15_4,15,4
15_5,15,5
15_6,15,6
15_7,15,7
15_8,15,8
15_9,15,9
16_1,16,1
16_10,16,10
16_11,16,11
16_12,16,12
16_13,16,13
16_14,16,14
16_15,16,15
16_16,16,16
16_2,16,2
16_3,16,3
16_4,16,4
16_5,16,5
16_6,16,6
16_7,16,7
16_8,16,8
16_9,16,9
1_1,1,1
1_10,1,10
1_11,1,11
1_12,1,12
1_13,1,13
1_14,1,14
1_15,1,15
1_16,1,16
1_2,1,2
1_3,1,3
1_4,1,4
1_5,1,5
1_6,1,6
1_7,1,7
1_8,1,8
1_9,1,9
2_1,2,1
2_10,2,10
2_11,2,11
2_12,2,12
2_13,2,13
2_14,2,14
2_15,2,15
2_16,2,16
2_2,2,2
2_3,2,3
2_4,2,4
2_5,2,5
2_6,2,6
2_7,2,7
2_8,2,8
2_9,2,9
3_1,3,1
3_10,3,10
3_11,3,11
3_12,3,12
3_13,3,13
3_14,3,14
3_15,3,15
3_16,3,16
3_2,3,2
3_3,3,3
3_4,3,4
3_5,3,5
3_6,3,6
3_7,3,7
3_8,3,8
3_9,3,9
4_1,4,1
4_10,4,10
4_11,4,11
4_12,4,12
4_13,4,13
4_14,4,14
4_15,4,15
4_16,4,16
4_2,4,2
4_3,4,3
4_4,4,4
4_5,4,5
4_6,4,6
4_7,4,7
4_8,4,8
4_9,4,9
5_1,5,1
5_10,5,10
5_11,5,11
5_12,5,12
5_13,5,13
5_14,5,14
5_15,5,15
5_16,5,16
5_2,5,2
5_3,5,3
5_4,5,4
5_5,5,5
5_6,5,6
5_7,5,7
5_8,5,8
5_9,5,9
6_1,6,1
6_10,6,10
6_11,6,11
6_12,6,12
6_13,6,13
6_14,6,14
6_15,6,15
6_16,6,16
6_2,6,2
6_3,6,3
6_4,6,4
6_5,6,5
6_6,6,6
6_7,6,7
6_8,6,8
6_9,6,9
7_1,7,1
7_10,7,10
7_11,7,11
7_12,7,12
7_13,7,13
7_14,7,14
7_15,7,15
7_16,7,16
7_2,7,2
7_3,7,3
7_4,7,4
7_5,7,5
7_6,7,6
7_7,7,7
7_8,7,8
7_9,7,9
8_1,8,1
8_10,8,10
8_11,8,11
8_12,8,12
8_13,8,13
8_14,8,14
8_15,8,15
8_16,8,16
8_2,8,2
8_3,8,3
8_4,8,4
8_5,8,5
8_6,8,6
8_7,8,7
8_8,8,8
8_9,8,9
9_1,9,1
9_10,9,10
9_11,9,11
9_12,9,12
9_13,9,13
9_14,9,14
9_15,9,15
9_16,9,16
9_2,9,2
9_3,9,3
9_4,9,4
9_5,9,5
9_6,9,6
9_7,9,7
9_8,9,8
9_9,9,9
