x,y
10,13
10,14
10,15
10,16
10,17
10,19
10,20
10,21
10,22
10,23
10,24
10,25
10,26
11,10
11,11
11,13
11,14
11,15
11,16
11,17
11,19
11,20
11,21
11,22
11,23
11,24
11,25
11,26
11,7
11,8
11,9
12,10
12,11
12,13
12,14
12,15
12,16
12,17
12,19
12,20
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,7
12,8
12,9
13,10
13,11
13,13
13,14
13,15
13,16
13,17
13,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,9
14,10
14,11
14,13
14,14
14,15
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,9
15,10
15,11
15,13
15,14
15,15
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
15,27
15,28
15,8
15,9
16,10
16,11
16,13
16,14
16,15
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,7
16,8
16,9
17,10
17,11
17,13
17,14
17,15
17,16
17,17
17,18
17,19
17,20
17,21
17,22
17,23
17,24
17,25
17,26
17,28
17,7
17,8
17,9
18,10
18,11
18,13
18,14
18,15
18,16
18,17
18,18
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,28
18,29
18,7
19,10
19,11
19,13
19,14
19,15
19,17
19,18
19,19
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
19,29
19,7
20,11
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,20
20,21
20,22
20,23
20,24
20,26
20,27
20,28
20,29
21,11
21,13
21,14
21,15
21,16
21,17
21,18
21,19
21,20
21,21
21,22
21,23
21,24
21,26
21,27
21,28
21,29
21,9
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,24
22,27
22,28
22,29
22,30
22,9
23,10
23,13
23,14
23,16
23,17
23,18
23,20
23,25
23,26
23,27
23,28
24,10
24,11
24,13
24,14
24,16
24,17
24,18
24,19
24,20
24,26
24,28
24,9
25,10
25,11
25,13
25,14
25,15
25,17
25,18
25,19
25,29
25,30
25,9
26,11
26,13
26,14
26,15
26,16
26,19
26,20
26,27
26,28
26,29
27,11
27,12
27,13
27,16
27,20
27,23
27,26
27,28
28,11
28,12
28,16
28,21
28,22
28,23
7,20
7,23
7,24
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
