"","GC","PGC","M/TC","OSs","EPL-IN"
"0610038B21Rik",0.000373785575574646,0,0,0,0
"1110006O24Rik",0.00227622723601114,0.00383022782043709,0.00456896171756399,0.00987211787083333,0
"1110017D15Rik",0.0507190654221036,0.0522998833733018,0.0617985592956752,0.71167517321,0.106705653291925
"1700001L19Rik",0.0141984698397957,0.00618496666213822,0.0191691670741395,0.0785970173975,0
"1700007G11Rik",0.0015587776581147,0.00076086474719433,0.00220134448808473,0.00779507479166667,0
"1700007K09Rik",0.000260165685511957,0,0.000493819908208296,0,0
"1700007L15Rik",0.00378279501996749,0.00583730369285292,0.00535504017828773,0.0185996781191667,0
"1700011I03Rik",0.00430554230787091,0.00235330717660957,0,0.00338106530416667,0.0167659663167702
"1700012B09Rik",0.040370348685512,0.0317538060129947,0.0423080997122683,0.81447919557,0.0162454413354037
"1700016K19Rik",0.00547924931425586,0.0101911802392203,0.00449219675198588,0.170117299339167,0
"1700019G24Rik",0.000231425129208266,0.00108342726934436,0,0,0
"1700020D05Rik",0.00111779942442535,0.00408716910809214,0,0,0
"1700028K03Rik",0.00667768825237985,0.0145996396432369,0.00443872434333628,0.00230426702333333,0
"1700028P14Rik",0.00375078709890875,0.00254350425162434,0.00241988453927626,0.02150995541,0
"1700034I23Rik",0.000253439450661714,0.000798233943886592,0.00165132966548985,0,0
"1700040L02Rik",0.000827843522405387,0.00445594069639693,0.0010600250070609,0.0075273831975,0
"1700067K01Rik",0.000256994361040167,0,0,0,0
"1700086L19Rik",0.0258145640345948,0.0559105069610159,0.0145229341835834,0.00991421473833333,0
"1700097N02Rik",0.00609537171941026,0.00520549508978145,0.00428809891879965,0.112416030484167,0
"1700110C19Rik",0,0.00078531871707029,0,0,0
"1810011O10Rik",0.00454928167622475,0.000678615447135263,0.00136248970255958,0.00197515023833333,0
"1810034E14Rik",0.000261305928372417,0.0015036033030124,0,0,0
"1810055G02Rik",0.0213329020600186,0.0135514998227998,0.0469217710750221,0.00753855351083333,0
"2010107G23Rik",0.0670960084052705,0.173965568524513,0.0579427640026478,0.0250003168716667,0.029595395552795
"2010109A12Rik",0.00635359749582076,0.0145708028092144,0.00307182393556928,0.0020733575575,0
"2010300C02Rik",0.253127366376364,0.0709654126007088,0.0787048749770521,0.0490074990383333,0.0169873674223602
"2310001H17Rik",0.0036675343091479,0.00558239138038984,0.0116806819417476,0.00302545996416667,0
"2310030G06Rik",0.00134259608300441,0.00159958749202599,0.00559267053927626,0.00160287548,0
"2410021H03Rik",0.00283330556918969,0,0.00133822484642542,0,0
"2410131K14Rik",0.0380121153425818,0.0428924409362079,0.0615337327202118,0.0118463031275,0.161057344913043
"2610020H08Rik",0.0043344417224286,0.0094566497294743,0.00198327244924978,0.00231362226,0
"2610528A11Rik",0.00388770273461806,0.00158164999054932,0.046869050858782,0,0
"2700038G22Rik",0.179482759442071,0.0534817010224454,0.0171124344271845,0.00902800187833333,0.0181583687204969
"2700046G09Rik",0.0162709126966566,0.0351222341961016,0.0168165634651368,0.00207504634416667,0
"2810433D01Rik",0.00326458249744602,0.00408088359007679,0.00400823884466019,0.0039487048525,0.0167259376708074
"2900079G21Rik",0.129085475564198,0.0293240028735972,0.0452741421368049,0.0107110840833333,0.011453617484472
"3010026O09Rik",0.0366012894929185,0.0759787692404017,0.0150320829532215,0.0109444724691667,0.0167901259689441
"3110001I22Rik",0.00478007690643139,0.00928040212285883,0.000957806324801412,0,0
"3110021N24Rik",0.0523940602331089,0.113575032253987,0.0446080654245366,0.002012791105,0
"3110035E14Rik",0.00616020432644532,0.00659363235144714,0.0122802009867608,0.0152318945658333,0.057575174621118
"3110039M20Rik",0.00312732187079173,0,0,0,0
"3110045C21Rik",0.00212235913327142,0.00433605524099232,0.00617088126390115,0,0
"3110070M22Rik",0.00201663903471094,0.00423313210041347,0,0,0.014899409068323
"3632451O06Rik",0.0264830170575807,0.0262020257554637,0.574659792099735,0.00745873116916667,0.125996892329193
"3830408C21Rik",0.00599046493301602,0.00353487739810986,0.00521921284466019,0.00235476304333333,0.0170378140248447
"4430402I18Rik",0.673127097114697,0.179935100246308,0.155216024701677,0.0329615490133333,0.041814841447205
"4732471J01Rik",0.0125153089814256,0.0293357336343768,0.0114076978323036,0.00136600857666667,0
"4833412C05Rik",0.000500723194799164,0,0.00218356361782877,0,0
"4921507P07Rik",0.00344744120060367,0.00666948284465446,0,0,0
"4921511H03Rik",0.00675492669932668,0.0284960764235086,0,0,0
"4930415O20Rik",0.000695856636289761,0.00104168622740697,0.00499177027360988,0,0
"4930426D05Rik",0.00905669388205247,0,0.0089970030917917,0.00227021042916667,0.041468271931677
"4930427A07Rik",0.00164439051323427,0.00274516562197283,0.00693794118711386,0.001689718405,0
"4930444P10Rik",0.00646186299164151,0.000862350558771412,0,0.00435633067166667,0
"4930451G09Rik",0.00293575701625261,0.00966793726580035,0,0,0
"4930469G21Rik",0.0193018701400046,0.00589331069403426,0,0,0.0115978082546584
"4930486L24Rik",0.000302550373577896,0.00112247906733609,0,0,0
"4930523C07Rik",0.00654044161643836,0.013677014479622,0.00294649148102383,0,0
"4930550C14Rik",0.00029767950011609,0.0010950715463674,0.000520930906443071,0.00226139016083333,0.0100324404968944
"4930579G18Rik",0.000195141061411655,0,0,0,0
"4930599N23Rik",0.000113599181332714,0.000837434531010041,0,0,0
"4932438H23Rik",0.00101955301358254,0,0,0.00196352497166667,0
"4933408B17Rik",0.00709519597504063,0.0178535349308919,0.00583648108826125,0,0
"4933417D19Rik",0.000587065543882052,0,0.005183471380406,0,0
"4933427D06Rik",0.000962441397724634,0,0,0,0
"5430416O09Rik",0.000436066908288832,0.00064899329001772,0.00315241645454545,0,0.0155679801304348
"5730403I07Rik",0.00593166513895983,0.00076824700236267,0.0104846433512798,0.16066875639,0
"5730522E02Rik",0.0266221227021128,0.0100534959190786,0.00864146988437776,0.00158363088416667,0
"5930412G12Rik",0.00047434052762944,0.00109911435085647,0.00714880518446602,0.002229233485,0
"6030407O03Rik",0.00653036755491061,0.0115749355835794,0.00565923538217122,0.0109766673275,0.0306516385714286
"6330403A02Rik",0.02456727372684,0.0102585025682221,0.0722452455842895,0.00850628297166667,0.0269849242919255
"6330409D20Rik",0.00406299629266311,0.00792523900767868,0.0153095154642542,0.00322049392416667,0
"6430571L13Rik",0.106231502333295,0.0416638596822209,0.0199915592259488,0.01534946074,0.0139383645714286
"6430584L05Rik",0.00118331364882749,0,0,0,0
"6430710C18Rik",0.00158462592999768,0.000638394238629652,0.010662917407767,0.00142345991416667,0
"6530411M01Rik",0.00301110822057116,0,0,0,0
"8030462N17Rik",0.00140759747492454,0.00123760406261075,0,0,0
"9030612E09Rik",0.00751914399291851,0.00444187365977555,0.00269259669373345,0,0
"9030617O03Rik",0.00200779576050615,0.00656720803484938,0.00188033495498676,0,0
"9130019O22Rik",0.00204539276352449,0.00664433162138216,0.000968833219770521,0,0.0166154048571429
"9130023H24Rik",0.00298665392721152,0.0148123783845245,0.00973638509620476,0.002389145885,0
"9330102E08Rik",0.0050609027014163,0.00815006708387478,0.0207246941535746,0.0039568112375,0
"9530059O14Rik",0.349397563929185,0.0410319524861193,0.0956937362418358,0.0071852286475,0.027698068173913
"9630001P10Rik",0.0104249164186208,0.0346882710100413,0.00605022050661959,0.00811551331083334,0
"9630028B13Rik",0.00078049160866032,0,0,0,0
"9830147E19Rik",0.0141043882723473,0.0116558214949793,0.00237453192762577,0,0
"A230065H16Rik",0.0224998021054098,0.0298521593408151,0.326276553284201,0.0672015334808333,0.0156980512795031
"A2m",0.00240673738681217,0.00503665803130538,0.00153093217652251,0,0
"A330009N23Rik",0.0317591467549338,0.0143655307844064,0.00582689579964696,0.00608352743666667,0
"A4galt",0.00143546906570699,0.0025377885280567,0,0.0057081279575,0
"A830018L16Rik",0.168784928749478,0.0219635640259894,0.0252483315481024,0.0157557307716667,0.0329521178944099
"A930009A15Rik",0.00518334184490364,0.00468956857944477,0,0,0
"A930041C12Rik",0.000930555613187834,0,0,0,0
"AA467197",0.00161708906547481,0.007259113746013,0.00316441468402471,0,0
"Abcb1b",0.00242967834943116,0.00317220991376255,0.00239914337246249,0.00124109748416667,0.0149676894099379
"Abcc4",0.00529233327118644,0.00118041449675133,0.0126255304924978,0.00545331917,0
"Abcc8",0.00839425683399118,0.00901416868163024,0.0356645166381289,0.00237239217666667,0.106927796198758
"Abhd15",0,0.00259050986001181,0.000870501677846425,0,0
"Abhd3",0.0521278345626886,0.0588887425404607,0.410666155426302,0.0373926491083333,0.186930841807453
"Ablim2",0.0283247238370095,0.017469398992912,0.0876736641209179,0.00248147870416667,0.0267095728074534
"Abtb2",0.00342604627455305,0.00505912050856468,0.0227814043821712,0.00534381728916667,0
"Acaa1b",0.00123192902414674,0.00535725655759008,0.00487684323477493,0,0
"Acan",0.00720597834118876,0,0.148745726171227,0,0
"Acbd7",0.0670286510099837,0.0681641159976373,0.0698103755251544,1.19502100805833,0.0875613284534161
"Ace",0.00402080560157883,0.00172321387182516,0.0312086748137688,0.00291957594,0.0566857195962733
"Ace2",0.00120374633619689,0,0.00327964925242718,0.0023112722675,0
"Acer2",0.00269046797155793,0.00292398011399882,0.0158718675233892,0.00611814506666667,0
"Ache",0.130261482433132,0.342453921032487,0.200263676198588,0.01691166981,1.15812919986335
"Acot10",0.00177806658486185,0.00773507694683993,0,0.00239964672083333,0
"Acot12",0.000583340466566055,0.00127327829474306,0,0,0
"Acss3",0.000393498954144416,0,0,0,0
"Actn3",0.000389767636289761,0,0,0,0
"Acvr2a",0.0300747633723009,0.0264505470454814,0.0852793484377758,0.00883386312833333,0
"Adam11",0.0350455897441374,0.0481064274518606,0.348247524518976,0.0162472206975,0.186314100795031
"Adam12",0.00870013132714186,0.00099062351742469,0.000728475667255075,0.0019042039075,0
"Adam19",0.00594948424622707,0.0115905711145895,0.0337533948181818,0,0
"Adam1a",0.00115413280276294,0,0.00205561936275375,0,0
"Adam21",0.000341056353494312,0.00150939323449498,0,0,0
"Adam28",0.00460855956744834,0.0078415218476078,0.00199952546337158,0.0644306903775,0
"Adam33",0.0460662039012073,0.00301703219669226,0.0191335203274492,0.00188018988666667,0
"Adam4",0.00253535807278848,0.00189418670407561,0.000541894065313327,0,0
"Adamts15",0.0177099856261899,0.0201248339846426,0.00477377464165931,0.002407620685,0.0595105617639751
"Adamts19",0.113422753135477,0.0109348603868872,0.0192752495754634,0.004756302735,0.0132000437826087
"Adamts2",0.00185501008880892,0.00440494515534554,0.0275251855895852,0.0023461034275,0
"Adamts8",0.00175815659043418,0.000983123956881276,0.00374213190379523,0,0
"Adamtsl1",0.0402091537684003,0.0912840385050207,0.0167262079470432,0.00215647773583333,0.0424005048695652
"Adamtsl4",0.000665783272347341,0.00209212030596574,0.00965269973521624,0,0
"Adap1",0.0553996638641746,0.0430805888269344,0.142888742370697,0.0134620361333333,0.0353041300869565
"Adcy5",0.0514281255565359,0.0412235849060839,0.184679362985878,0.0121843609416667,0.104417074198758
"Adcyap1",0.00348032526282795,0.0041536121488482,0.321124615417476,0.00608880773166667,0.0655692918012422
"Adgb",0.000492042773972603,0.00395700211340815,0.00178010195145631,0,0
"Adh1",0.000292668855583933,0,0,0,0
"Adora1",0.0219432396207337,0.0414292687507383,0.284364439507502,0.0205974215158333,0.122844494360248
"Adora2a",0.0226874700073137,0.139033259173656,0,0.00721255863083333,0.0148097476273292
"Adora2b",0.00743034776735547,0.0422413322965151,0.00574256202912621,0.0020476862775,0
"Adora3",0.0017010142318319,0.0032075041724749,0.00462068178729038,0,0
"Adra1a",0.0766865201153935,0.00991189316597755,0.0152159294845543,0.00634348318416667,0.0350414679254658
"Adra1b",0.0106210844681913,0.0437239829362079,0.0297623389390997,0.00142345991416667,0.0892809897639751
"Adra2a",0.00793223053366613,0.0204625273000591,0.0054818270847308,0.00201666980333333,0.0426553906397515
"Adra2b",0.00047123174390527,0,0,0.00233269722,0
"Adra2c",0.00663526857093104,0,0.0172462745887026,0,0.0515148856583851
"Adrb2",0.00863968672254469,0.00289265083165978,0.0196788122356575,0.00240628575166667,0
"Adrbk2",0.188195201821802,0.391532200206143,0.0902390577360988,0.0345331122416667,0.0587055686335404
"AF529169",0.00393814062154632,0.00276663519669226,0.0501952103221536,0.00822071029083333,0
"Aga",0.028826624166241,0.0132207249190786,0.103710639475728,0.0116177121366667,0.0491925448012422
"Agbl2",0.00328074823926167,0.00134042603603071,0.0215193444068844,0.00243900208333333,0
"Agbl4",0.00162315910459717,0,0.0183494364907326,0.00214239791333333,0
"Agpat2",0.00164422884629673,0.00683109535676314,0.00215596851897617,0,0
"Agpat9",0.00359229951358254,0.000631338386887183,0.0179386903045013,0.00235103935833333,0.0283602692111801
"Agr2",0,0,0.000770963617828773,0,0
"Agtr1a",0.000386914740538658,0,0.00713758463989409,0,0.0123514431614907
"Agtr2",0.00193031092663107,0,0,0,0
"Agtrap",0.0113619014592524,0.0191780344394566,0.0843558778561341,0.00932598363666667,0.0100324404968944
"AI429214",0.000953864420710471,0.00100655277968104,0.00427927606090027,0,0
"AI464131",0.0067320229449733,0.0083413710962788,0.147733640986761,0.012160434285,0.0140663899565217
"AI504432",0.0636826320935686,0.0448602453419965,0.260375237376876,0.0181710986491667,0.148905511149068
"AI593442",0.0751380475832366,0.794856613945068,0.190269121274492,0.0231612853141667,0.323611814913043
"AI607873",0.000532992201068029,0,0.00239395772285966,0,0
"AI839979",0.012241513212677,0.0322441247578263,0.00393255158781995,0.004347918075,0
"AI847159",0.000749440441374507,0,0.0143224219364519,0.002115939495,0
"Aifm3",0.023268949869863,0.0472146438818665,0.109305954000883,0.0179737597766667,0.00583045157142857
"Airn",0.0481388915056884,0.02417459403544,0.00992867633451015,0.00483477525083333,0
"Akap13",0.0275842156251451,0.0409769154424099,0.203377270718447,0.0150877749508333,0.0233245658074534
"Akap2",0.00196907442639889,0.000671484298287064,0.00153604082700794,0,0
"Akna",0.00426101619096819,0.0117849236190195,0.00375969621624007,0.00233390595583333,0
"Akr1c13",0.00127077127466914,0.00109996220909628,0,0.00470850338166667,0
"Akr1c14",0.000801002817738565,0,0.00142761363283319,0,0
"Alas2",0.000833774713257488,0.000935987613703485,0.00360925489055605,0,0
"Alcam",0.0617781397372881,0.112641280828116,0.0503803525710503,0.0295347386691667,0.352638078782609
"Aldh1a3",0.0404587546175992,0.0834158181825162,0.00955884034686673,0.00598287501083333,0.0156131416273292
"Aldh1a7",0.000187623865567681,0.000645352738334318,0,0,0
"Aldh3b1",0.00454822288216856,0.00655414965209687,0.00251133516769638,0.00440531915666667,0.0321771037701863
"Aldh3b2",0.00283372296970049,0.000746464136444182,0.00586179386496028,0,0
"Aldob",0.00288809018876248,0.000875628848198464,0.000348824156222418,0,0
"Alk",7.81039907127931e-05,0,0.0214344737157988,0,0.00583045157142857
"Alox5",0.000887790450429533,0,0,0,0
"Alox5ap",0.00818197964348735,0.00985370634613113,0.0305513180467785,0.00461341315416667,0
"Alpk3",0.000268167931506849,0,0.0185807330670786,0,0
"Alpl",0.00158007863257488,0.00078531871707029,0.00894882709620476,0.00359504940166667,0
"Als2cl",0.00298875760599025,0,0.000795436722859665,0.00188082783416667,0
"Alx4",0.0074676583395635,0.00669967930360307,0.0119245744889673,0.00952279420916667,0.032520922621118
"Amh",0.00344751045391224,0.000896559715888954,0.00205267205207414,0,0
"Amhr2",0.00222274472266078,0.00233712020200827,0.0218282934386584,0.00459849455166667,0
"Amigo3",0.00206413270768516,0,0.00818603485789938,0,0
"Amotl2",0.0206012238329464,0.0480789481506202,0.0240879219708738,0.0081274225475,0
"Amz1",0.00249320498386348,0.00173582953101004,0.0447736634951456,0.00434720392583333,0
"Ang",0.00359136150859067,0.00108788882516243,0.00882014839099735,0.004197449615,0
"Angpt1",0.00588058787253308,0.0244509090702894,0.0326459132471315,0.004378799365,0.158463293403727
"Angptl1",0.0032789851487114,0.000513750714116952,0.00646491171932921,0,0
"Angptl2",0.0035260667119805,0.0149913693165978,0.00417387850926743,0.00148622868166667,0
"Ankdd1b",0.000153685816113304,0.00045158003012404,0,0,0
"Ankef1",0.057689852635361,0.0330189211128175,0.0207097601244484,0,0
"Ankfn1",0.000921367229045739,0,0,0,0
"Ankrd33b",0.0841129991270026,0.014942269975192,0.00954804321359223,0.0164074128075,0
"Ankrd34c",0.0073823289555375,0.00545034927643237,0.10629190748985,0.00854959837666667,0.0121334854906832
"Ankrd52",0.00764896552902252,0.00578814048316598,0.00286935718270079,0,0
"Ankrd63",0.0577418187656141,0.0115823917040756,0.0152781410220653,0.0151737843283333,0.0162747070869565
"Anks6",0.00413094200069654,0.00689722936444182,0.00739708078022948,0,0.0168387700372671
"Ano1",0.00153059829254702,0.00422582441169522,0.00933370844571933,0.00436368579833333,0
"Ano2",0.00164434313849547,0,0,0.00610131430083333,0
"Ano3",0.710609203696076,0.0606660736007088,0.119062086112974,0.0537290050008333,0.170165173478261
"Anpep",0.00151994020756907,0,0.00433395987202118,0,0
