"","x"
"1","0"
"2","0"
"3","1"
"4","2"
"5","4"
"6","0"
"7","1"
"8","0"
"9","0"
"10","1"
"11","2"
"12","3"
"13","0"
"14","1"
"15","3"
"16","0"
"17","2"
"18","0"
"19","0"
"20","1"
"21","0"
"22","2"
"23","0"
"24","4"
"25","0"
"26","0"
"27","3"
"28","4"
"29","2"
"30","2"
"31","1"
"32","1"
"33","0"
"34","0"
"35","0"
"36","4"
"37","0"
"38","3"
"39","1"
"40","1"
"41","1"
"42","4"
"43","1"
"44","0"
"45","1"
"46","1"
"47","4"
"48","0"
"49","1"
"50","0"
"51","4"
"52","2"
"53","0"
"54","1"
"55","0"
"56","4"
"57","2"
"58","4"
"59","0"
"60","4"
"61","0"
"62","0"
"63","4"
"64","0"
"65","3"
"66","0"
"67","0"
"68","2"
"69","3"
"70","4"
"71","1"
"72","3"
"73","2"
"74","1"
"75","0"
"76","4"
"77","3"
"78","2"
"79","0"
"80","0"
"81","3"
"82","3"
"83","1"
"84","1"
"85","2"
"86","0"
"87","0"
"88","0"
"89","0"
"90","2"
"91","0"
"92","1"
"93","0"
"94","2"
"95","2"
"96","0"
"97","1"
"98","2"
"99","2"
"100","0"
"101","0"
"102","0"
"103","3"
"104","4"
"105","3"
"106","4"
"107","1"
"108","2"
"109","4"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","2"
"119","0"
"120","4"
"121","1"
"122","1"
"123","1"
"124","3"
"125","4"
"126","2"
"127","0"
"128","0"
"129","2"
"130","2"
"131","0"
"132","0"
"133","0"
"134","4"
"135","0"
"136","3"
"137","1"
"138","1"
"139","2"
"140","0"
"141","0"
"142","0"
"143","3"
"144","3"
"145","0"
"146","0"
"147","4"
"148","4"
"149","0"
"150","0"
"151","0"
"152","0"
"153","1"
"154","0"
"155","1"
"156","0"
"157","0"
"158","1"
"159","4"
"160","1"
"161","0"
"162","0"
"163","4"
"164","2"
"165","1"
"166","4"
"167","3"
"168","0"
"169","0"
"170","0"
"171","1"
"172","3"
"173","0"
"174","4"
"175","0"
"176","2"
"177","3"
"178","1"
"179","0"
"180","0"
"181","0"
"182","3"
"183","0"
"184","1"
"185","0"
"186","2"
