"","CT1","CT2","CT3","CT4"
"X10_1",0.256627689905406,0.356467845922401,0.191911039818121,0.194993424354072
"X10_10",0.215388267449984,0.194761922747294,0.231980938849731,0.35786887095299
"X10_11",0.25215360977927,0.19475167109978,0.225283945865226,0.327810773255724
"X10_12",0.215384316618574,0.194835149412804,0.232365439984861,0.357415093983761
"X10_13",0.215451445736921,0.194758578646286,0.23225652307097,0.357533452545823
"X10_14",0.215383301479949,0.194756327726508,0.232464841592333,0.35739552920121
"X10_15",0.21637426913872,0.194958574172769,0.232355478761467,0.356311677927045
"X10_16",0.21757875037832,0.195403312916017,0.190944976270383,0.396072960435279
"X10_2",0.256652257378887,0.356443413153636,0.191911374979195,0.194992954488283
"X10_3",0.256573536903875,0.356521702000252,0.191910301037303,0.19499446005857
"X10_4",0.256520631465587,0.356574317355312,0.191909579276332,0.194995471902768
"X10_5",0.256330708434853,0.356763199028345,0.191906988256665,0.194999104280137
"X10_6",0.250005036781427,0.332018967627755,0.191692542122522,0.226283453468296
"X10_7",0.256098690664166,0.356920180391361,0.191980898853014,0.195000230091459
"X10_8",0.256107688267956,0.356832420588344,0.192053113896539,0.19500677724716
"X10_9",0.21538921525883,0.194762990617249,0.231888580801461,0.35795921332246
"X11_1",0.256733161959498,0.356362952176982,0.191912478717686,0.194991407145833
"X11_10",0.215388204515649,0.194761851840924,0.231987071407309,0.357862872236118
"X11_11",0.21538679149007,0.194760259824171,0.232124761918669,0.35772818676709
"X11_12",0.215423068012398,0.194830983341677,0.232223763019521,0.357522185626404
"X11_13",0.215385074753786,0.19479918591189,0.232291793232949,0.357523946101376
"X11_14",0.215504363237885,0.19482798049339,0.23240992299158,0.357257733277145
"X11_15",0.216363415743857,0.194931373870127,0.232645779933032,0.356059430452983
"X11_16",0.218214240172136,0.195645741481923,0.190980790463744,0.395159227882197
"X11_2",0.256563806491276,0.3565313790605,0.191910168290419,0.194994646157804
"X11_3",0.283547788148132,0.329695351956774,0.192278296509979,0.194478563385115
"X11_4",0.256494035903936,0.356600767092137,0.191909216447122,0.194995980556805
"X11_5",0.256329572947647,0.356764328289616,0.191906972765812,0.194999125996924
"X11_6",0.256252425028594,0.356841053202678,0.191905920277472,0.195000601491256
"X11_7",0.256186259871533,0.356836248167815,0.191978794949718,0.194998697010934
"X11_8",0.256100286786342,0.35677060206251,0.192056062004539,0.195073049146609
"X11_9",0.215388687433451,0.194762395931025,0.231940014085755,0.357908902549768
"X12_1",0.256596169968843,0.356499193033538,0.191910609808263,0.194994027189356
"X12_10",0.215388267077316,0.19476192232742,0.231980975163843,0.35786883543142
"X12_11",0.215387236334454,0.194760761018009,0.232081414613634,0.357770588033903
"X12_12",0.215385450760171,0.194888105204667,0.232254603846143,0.357471840189019
"X12_13",0.215497207127498,0.194807169160764,0.232329232642327,0.357366391069412
"X12_14",0.215913922841784,0.194780646493706,0.232543966190214,0.356761464474296
"X12_15",0.216284721916374,0.194863177803587,0.232834574795756,0.356017525484283
"X12_16",0.218029525674165,0.195862937845222,0.190952982059959,0.395154554420654
"X12_2",0.256465328750054,0.356629316843225,0.191908824810573,0.194996529596148
"X12_3",0.256413662562427,0.356680699742499,0.191908119956045,0.194997517739029
"X12_4",0.25635873632503,0.356735324816524,0.191907370626378,0.194998568232068
"X12_5",0.256263448282886,0.356830090389454,0.191906070661912,0.195000390665748
"X12_6",0.256123558186951,0.356959953865896,0.191913837520159,0.195002650426994
"X12_7",0.25603337970708,0.356923827040529,0.192005278140426,0.195037515111965
"X12_8",0.256145555737986,0.356789894322877,0.192043957106641,0.195020592832495
"X12_9",0.21538898458156,0.194762730719564,0.231911058859648,0.357937225839228
"X13_1",0.256307107238052,0.356739213696529,0.191956253990314,0.194997425075105
"X13_10",0.2153885625198,0.194762255194278,0.231952186140296,0.357896996145626
"X13_11",0.215387631385571,0.194761206111151,0.232042919351398,0.357808243151879
"X13_12",0.215385938914613,0.194794964257069,0.232207618444933,0.357611478383385
"X13_13",0.215385250282903,0.194825602950924,0.232274526090221,0.357514620675952
"X13_14",0.216148615951304,0.194785412290261,0.232391074016248,0.356674897742186
"X13_15",0.217391742561185,0.195608062287118,0.190791164918191,0.396209030233505
"X13_16",0.217631340396756,0.195744757535253,0.190996555953064,0.395627346114927
"X13_2",0.256294838395231,0.356798872390702,0.191906498900647,0.19499979031342
"X13_3",0.256148802468174,0.356936945774039,0.191911989961211,0.195002261796576
"X13_4",0.256151949396906,0.356940977921332,0.19190454954146,0.195002523140301
"X13_5",0.256096734790469,0.356995889783255,0.191903796277727,0.195003579148549
"X13_6",0.25603982820793,0.356941380211345,0.19197568159289,0.195043109987835
"X13_7",0.255930400006094,0.356985623689699,0.1920104682988,0.195073508005408
"X13_8",0.256017085543725,0.356760962574024,0.19212114643058,0.195100805451671
"X13_9",0.21538954026191,0.194763356789211,0.231856911282564,0.357990191666315
"X14_1",0.244951676097001,0.313810429716835,0.191659665397344,0.249578228788819
"X14_10",0.215386290229579,0.19475969506787,0.232173606620578,0.357680408081972
"X14_11",0.21538686435579,0.194760341919958,0.232117661609633,0.357735132114619
"X14_12",0.215386378113164,0.19475979408387,0.232165042914466,0.3576887848885
"X14_13",0.215384265860907,0.194757414267801,0.232370868695382,0.35748745117591
"X14_14",0.21629858237842,0.194756797282049,0.232235567012198,0.356709053327333
"X14_15",0.216958482849078,0.195438637523952,0.190774373014116,0.396828506612854
"X14_16",0.217797782021635,0.196018716986605,0.190828319303985,0.395355181687776
"X14_2",0.255955265504218,0.3570201161426,0.19202356233421,0.195001056018972
"X14_3",0.255670962194069,0.357206558771817,0.192120309041888,0.195002169992226
"X14_4",0.255779562631761,0.357059723078709,0.192083810270565,0.195076904018965
"X14_5",0.255928250462098,0.357056923521605,0.191978012477939,0.195036813538357
"X14_6",0.255892972120013,0.356877056353362,0.191996392642152,0.195233578884474
"X14_7",0.255942767883607,0.356920412219079,0.191994610465139,0.195142209432176
"X14_8",0.255754714355544,0.356904991090149,0.19216335944552,0.195176935108786
"X14_9",0.215388607424206,0.194762305786827,0.231947810486615,0.357901276302352
"X15_1",0.255725938862829,0.357122184215847,0.192130723934765,0.195021152986559
"X15_10",0.250950739171139,0.194753950537738,0.225335275223666,0.328960035067458
"X15_11",0.215387069164793,0.194760572672585,0.232097704252332,0.357754653910291
"X15_12",0.215386697625707,0.194760154069796,0.232133908414125,0.357719239890372
"X15_13",0.215458215066651,0.194840730788125,0.225164980777038,0.364536073368186
"X15_14",0.215805118384682,0.194757029163008,0.23231731683228,0.35712053562003
"X15_15",0.216606587122161,0.195413315392455,0.190739029772143,0.397241067713241
"X15_16",0.217250351337457,0.195934412486137,0.190888598817819,0.395926637358587
"X15_2",0.255385452305583,0.357303113206413,0.192241535006352,0.195069899481651
"X15_3",0.255500259046362,0.357189856541824,0.1921495360917,0.195160348320114
"X15_4",0.255637186147806,0.357066134256597,0.192064797064529,0.195231882531068
"X15_5",0.255812119455538,0.356983515522444,0.191977597074731,0.195226767947287
"X15_6",0.255870336153411,0.356827918464534,0.191997941514427,0.195303803867628
"X15_7",0.255895674881672,0.356862149186784,0.191941635558096,0.195300540373447
"X15_8",0.255792487720573,0.356809568917049,0.192160776393777,0.195237166968601
"X15_9",0.215385324626176,0.194758607149282,0.232267698637133,0.357588369587408
"X16_1",0.255354880901167,0.357249462542431,0.192260736939975,0.195134919616428
"X16_10",0.215386539378276,0.194759975776802,0.232149328637176,0.357704156207746
"X16_11",0.215386271086606,0.194759673500014,0.232175471983629,0.357678583429752
"X16_12",0.215387295001378,0.194760827116406,0.232075697888542,0.357776179993674
"X16_13",0.215386155620816,0.194759543407908,0.232186723403226,0.357667577568049
"X16_14",0.215596519142364,0.194757607495811,0.232310421190405,0.357335452171421
"X16_15",0.216630592968138,0.195430880480452,0.190638023192588,0.397300503358822
"X16_16",0.217035890392341,0.195819646293594,0.19086215465801,0.396282308656056
"X16_2",0.255176060727562,0.357315117223116,0.192249059107965,0.195259762941357
"X16_3",0.255377902279567,0.357129250875317,0.19216002673087,0.195332820114246
"X16_4",0.255475894000151,0.35707930198795,0.192066066180905,0.195378737830994
"X16_5",0.25558492929223,0.356973182921586,0.192021366938192,0.195420520847992
"X16_6",0.255754594062098,0.356805281802207,0.191971154162683,0.195468969973011
"X16_7",0.255752886011938,0.356794789453962,0.191976139414937,0.195476185119163
"X16_8",0.316671484617555,0.296188260862243,0.192790909063728,0.194349345456474
"X16_9",0.215385258830117,0.194758533018686,0.232274110051914,0.357582098099283
"X1_1",0.214463944015064,0.238276653441396,0.357935457172285,0.189323945371255
"X1_10",0.380451246202818,0.194814066866423,0.193441290089256,0.231293396841502
"X1_11",0.380912073307352,0.194812871036384,0.193449464352508,0.230825591303755
"X1_12",0.380922758820281,0.19485977427122,0.193449847678604,0.230767619229895
"X1_13",0.3808260528474,0.194833246916597,0.193448021713546,0.230892678522457
"X1_14",0.380806265937712,0.194813145602767,0.193447587515654,0.230933000943867
"X1_15",0.381036345108749,0.194812548555455,0.193451668715944,0.230699437619853
"X1_16",0.38130045072552,0.194811863210719,0.193456353485605,0.230431332578156
"X1_2",0.214297884602309,0.238175379362512,0.358095497596279,0.189431238438901
