cell    bio_celltype
Cell1	Acinar cells
Cell10	Ductal - terminal ductal like
Cell100	Ductal - MHC Class II
Cell1000	Ductal - MHC Class II
Cell1001	mDCs B
Cell1002	Ductal - MHC Class II
Cell1003	Ductal - CRISP3 high/centroacinar like
Cell1004	Ductal - CRISP3 high/centroacinar like
Cell1005	Ductal - CRISP3 high/centroacinar like
Cell1006	Ductal - terminal ductal like
Cell1007	Cancer clone B
Cell1008	Cancer clone A
Cell1009	Cancer clone B
Cell101	Ductal - CRISP3 high/centroacinar like
Cell1010	Ductal - CRISP3 high/centroacinar like
Cell1011	Ductal - CRISP3 high/centroacinar like
Cell1012	Ductal - APOL high/hypoxic
Cell1013	Ductal - MHC Class II
Cell1014	Cancer clone A
Cell1015	mDCs A
Cell1016	Ductal - CRISP3 high/centroacinar like
Cell1017	mDCs B
Cell1018	Cancer clone B
Cell1019	Macrophages B
Cell102	mDCs A
Cell1020	Ductal - terminal ductal like
Cell1021	Ductal - APOL high/hypoxic
Cell1022	Macrophages B
Cell1023	Ductal - CRISP3 high/centroacinar like
Cell1024	Ductal - CRISP3 high/centroacinar like
Cell1025	Ductal - CRISP3 high/centroacinar like
Cell1026	Cancer clone B
Cell1027	Ductal - terminal ductal like
Cell1028	Ductal - terminal ductal like
Cell1029	Ductal - terminal ductal like
Cell103	Ductal - CRISP3 high/centroacinar like
Cell1030	Cancer clone B
Cell1031	Cancer clone B
Cell1032	Ductal - terminal ductal like
Cell1033	Ductal - APOL high/hypoxic
Cell1034	Macrophages B
Cell1035	T cells & NK cells
Cell1036	Tuft cells
Cell1037	Ductal - MHC Class II
Cell1038	Ductal - CRISP3 high/centroacinar like
Cell1039	Ductal - APOL high/hypoxic
Cell104	Ductal - APOL high/hypoxic
Cell1040	Cancer clone B
Cell1041	Endocrine cells
Cell1042	Cancer clone B
Cell1043	Ductal - APOL high/hypoxic
Cell1044	Ductal - terminal ductal like
Cell1045	Tuft cells
Cell1046	Ductal - MHC Class II
Cell1047	Ductal - APOL high/hypoxic
Cell1048	Cancer clone B
